TSW:14:003:C	Why would you wanna take
TSW:14:004:C	Our love and tear it all apart now?
TSW:14:005:C	Why would you wanna make
TSW:14:006:C	The very first scar?
TSW:14:007:C	Why would you wanna break
TSW:14:008:C	A perfectly good heart?
TSW:14:009:V	Maybe I should've seen the signs
TSW:14:010:V	Should've read the writing on the wall
TSW:14:011:V	And realized by the distance in your eyes
TSW:14:012:V	That I would be the one to fall
TSW:14:013:C	No matter what you say
TSW:14:014:C	I still can't believe that you would walk away
TSW:14:015:C	It don't make sense to me, but
TSW:14:016:C	Why would you wanna break
TSW:14:017:C	A perfectly good heart?
TSW:14:018:C	Why would you wanna take
TSW:14:019:C	Our love and tear it all apart now?
TSW:14:020:C	Why would you wanna make
TSW:14:021:C	The very first scar?
TSW:14:022:C	Why would you wanna break
TSW:14:023:C	A perfectly good heart?
TSW:14:024:B	It's not unbroken anymore (It's not unbroken anymore)
TSW:14:025:B	How do I get it back the way it was before?
TSW:14:026:C	Why would you wanna break
TSW:14:027:C	A perfectly good heart?
TSW:14:028:C	Why would you wanna take
TSW:14:029:C	Our love and tear it all apart now?
TSW:14:030:C	Why would you wanna make
TSW:14:031:C	The very first scar?
TSW:14:032:C	Why would you wanna break—
TSW:14:033:C	(Why) Would you wanna break it?
TSW:14:034:C	Why would you wanna break
TSW:14:035:C	A perfectly good heart?
TSW:14:036:C	Why would you wanna take
TSW:14:037:C	Our love and tear it all apart now?
TSW:14:038:C	Why would you wanna make
TSW:14:039:C	The very first scar?
TSW:14:040:C	Why would you wanna break
TSW:14:041:C	A perfectly good heart?
TSW:14:042:C	Mmm-hmm
FER:01:001:V	There's somethin' 'bout the way
FER:01:002:V	The street looks when it's just rained
FER:01:003:V	There's a glow off the pavement
FER:01:004:V	You walk me to the car
FER:01:005:V	And you know I wanna ask you to dance right there
FER:01:006:V	In the middle of the parkin' lot, yeah
FER:01:007:V	Oh, yeah
FER:01:008:V	We're driving down the road
FER:01:009:V	I wonder if you know
FER:01:010:V	I'm trying so hard not to get caught up now
FER:01:011:V	But you're just so cool
FER:01:012:V	Run your hands through your hair
FER:01:013:V	Absent-mindedly makin' me want you
FER:01:014:C	And I don't know how it gets better than this
FER:01:015:C	You take my hand and drag me headfirst, fearless
FER:01:016:C	And I don't know why, but with you, I'd dance
FER:01:017:C	In a storm, in my best dress, fearless
FER:01:018:V	So, baby, drive slow 'til we run out of road
FER:01:019:V	In this one-horse town, I wanna stay right here
FER:01:020:V	In this passenger seat, you put your eyes on me
FER:01:021:V	In this moment now, capture it, remember it
FER:01:022:C	'Cause I don't know how it gets better than this
FER:01:023:C	You take my hand and drag me headfirst, fearless
FER:01:024:C	And I don't know why, but with you, I'd dance
FER:01:025:C	In a storm, in my best dress, fearless
FER:01:026:C	Oh-oh
FER:01:027:B	Well, you stood there with me in the doorway
FER:01:028:B	My hands shake, I'm not usually this way
FER:01:029:B	But you pull me in and I'm a little more brave
FER:01:030:B	It's the first kiss, it's flawless, really somethin'
FER:01:031:B	It's fearless
FER:01:032:B	Oh, yeah
FER:01:033:C	'Cause I don't know how it gets better than this
FER:01:034:C	You take my hand and drag me headfirst, fearless
FER:01:035:C	And I don't know why, but with you, I'd dance
FER:01:036:C	In a storm, in my best dress, fearless
FER:01:037:C	'Cause I don't know how it gets better than this
FER:01:038:C	You take my hand and drag me headfirst, fearless
FER:01:039:C	And I don't know why, but with you, I'd dance
FER:01:040:C	In a storm, in my best dress, fearless
FER:01:041:I	Oh-oh
FER:01:042:I	Oh-oh, yeah
FER:02:001:V	You take a deep breath and you walk through the doors
FER:02:002:V	It's the mornin' of your very first day
FER:02:003:V	You say hi to your friends you ain't seen in a while
FER:02:004:V	Try and stay out of everybody's way
FER:02:005:V	It's your freshman year and you're gonna be here
FER:02:006:V	For the next four years in this town
FER:02:007:V	Hopin' one of those senior boys will wink at you and say
FER:02:008:V	"You know, I haven't seen you around before"
FER:02:009:C	'Cause when you're fifteen and somebody tells you they love you
FER:02:010:C	You're gonna believe them
FER:02:011:C	And when you're fifteen, feelin' like there's nothin' to figure out
FER:02:012:C	Well, count to ten, take it in
