"Word"	"PoSes"	"FqBand"	"OECRank"	"CEFRLevel"	"NextWord1"	"NextWord2"	"NextWord3"	"Length"	"Reps"	"Count"	"Verse"	"Bridge"	"Chorus"	"Refrain"	"InOut"	"Albums"	"Songs"	"AlbumOccurrences"
"see"	"Verb"	2	69	"A1"	"your#17"	"right#15"	"daylight#13"	3	0	279	83	39	139	2	16	13	100	"TSW#19, FER#35, SPN#57, RED#15, NEN#29, ...MANY"
"seen"	"Verb"	2	69	"A1"	"him#2"	"each#1"	"nobody#1"	4	0	34	13	3	16	1	1	11	18	"TSW#1, FER#5, SPN#2, RED#2, NEN#4, ...MANY"
"sees"	"Verb"	2	69	"A1"	"when#1"	""	""	4	0	4	3	1	0	0	0	4	4	"LVR#1, FOL#1, MID#1, TPD#1"
"other"	"Adje, Pron, Prep"	2	70	"A1"	"girls#5"	"side#5"	"girl#3"	5	0	41	13	5	21	0	2	11	23	"TSW#4, FER#5, SPN#5, RED#2, NEN#2, ...MANY"
"other's"	"Adje, Pron, Prep"	2	70	"A1"	"hearts#1"	""	""	7	0	1	1	0	0	0	0	1	1	"RED#1"
"than"	"Conj, Prep"	2	71	"A1"	"fiction#10"	"distance#5"	"just#3"	4	0	78	24	6	42	0	6	11	37	"TSW#2, FER#11, SPN#9, RED#10, NEN#16, ...MANY"
"then"	"Adve, Adje"	2	72	"A1"	"fall#15"	"i'd#6"	"why's#4"	4	0	164	63	14	76	1	10	12	75	"TSW#2, FER#28, SPN#8, RED#11, NEN#16, ...MANY"
"now"	"Adve, Conj"	2	73	"A1"	"i'm#46"	"you're#30"	"it's#14"	3	26	432	116	39	255	6	16	13	135	"TSW#9, FER#34, SPN#68, RED#56, NEN#69, ...MANY"
"look"	"Verb, Noun"	2	74	"A1"	"like#23"	"hard#3"	"through#3"	4	0	158	36	18	99	0	5	13	55	"TSW#3, FER#11, SPN#12, RED#22, NEN#18, ...MANY"
"looked"	"Verb"	2	74	"A1"	"like#2"	"around#1"	"away#1"	6	0	28	10	3	13	0	2	8	16	"TSW#5, FER#5, SPN#1, LVR#1, FOL#1, ...MANY"
"looks"	"Verb, Noun"	2	74	"A1"	"real#5"	"like#4"	"can#2"	5	0	25	11	2	11	0	1	9	15	"TSW#2, FER#2, SPN#7, RED#1, NEN#1, ...MANY"
"only"	"Adve, Adje"	3	75	"A1"	"bought#10"	"see#9"	"knew#8"	4	0	177	34	19	114	0	10	13	60	"TSW#19, FER#4, SPN#11, RED#3, NEN#10, ...MANY"
"came"	"Verb"	2	76	"A1"	"back#8"	"pourin'#3"	"true#2"	4	0	39	15	4	20	0	0	11	23	"TSW#1, FER#1, SPN#3, RED#1, NEN#15, ...MANY"
"come"	"Verb"	2	76	"A1"	"back#48"	"find#11"	"around#10"	4	0	217	35	24	142	3	13	12	71	"TSW#4, FER#55, SPN#33, RED#25, NEN#31, ...MANY"
